YEAR,QUARTER,MONTH,PEAK DEMAND,DEMAND MET,REGION,STATE,DEMAND NOT MET,DEMAND
2011,Q2,5,3350,3139,EAST,ORISSA,-211,3350
2011,Q2,5,6300,698,EAST,WEST BENGAL,-202,6300
2011,Q2,5,100,68,EAST,SIKKAM,-32,100
2011,Q2,5,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q2,5,90,87,NE,ARUNACHAL PRADESH,-3,90
2011,Q2,5,1050,978,NE,ASSAM,-72,1050
2011,Q2,5,102,94,NE,MANIPUR,-8,102
2011,Q2,5,245,209,NE,MEGHALAYA,-36,245
2011,Q2,5,75,67,NE,MIZORAM,-8,75
2011,Q2,5,94,83,NE,NAGALAND,-11,94
2011,Q2,5,165,163,NE,TRIPURA,-2,165
2011,Q2,6,263,263,NORTH,CHANDIGARH,0,263
2011,Q2,6,5014,4994,NORTH,DELHI,-20,5014
2011,Q2,6,6411,6186,NORTH,HARYANA,-225,6411
2011,Q2,6,1088,1088,NORTH,HIMACHAL PRADESH,0,1088
2011,Q2,6,2250,1474,NORTH,JAMMU & KASHMIR,-776,2250
2011,Q2,6,9159,8466,NORTH,PUNJAB,-693,9159
2011,Q2,6,7054,6656,NORTH,RAJASTAN,-398,7054
2011,Q2,6,11080,10439,NORTH,UTTAR PRADESH,-641,11080
2011,Q2,6,1566,1517,NORTH,UTTARAKHAND,-49,1566
2011,Q2,6,2775,2580,WEST,CHATTISGARH,-255,2775
2011,Q2,6,10292,10221,WEST,GUJARAT,-71,10292
2011,Q2,6,6618,5737,WEST,MADYA PRADESH,-881,6618
2011,Q2,6,18801,16075,WEST,MAHARASTRA,-2726,18801
2011,Q2,6,284,259,WEST,DAMAN AND DIU,-25,284
2011,Q2,6,572,547,WEST,DADRA AND NAGAR HAVELI,-25,572
2011,Q2,6,508,452,WEST,GOA,-56,508
2011,Q2,6,10746,10108,SOUTH,ANDRA PRADESH,-638,10746
2011,Q2,6,7637,6828,SOUTH, KARNATAKA,-809,7637
2011,Q2,6,3023,2860,SOUTH,KERALA,-163,3023
2011,Q2,6,11713,10491,SOUTH,TAMILNADU,-1222,11713
2011,Q2,6,307,306,SOUTH,PUDUCHERRY,-1,307
2011,Q2,6,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q2,6,1713,1426,EAST,BIHAR,-287,1713
2011,Q2,6,2190,1880,EAST,DVC,-310,2190
2011,Q2,6,762,760,EAST,JARKHAND,-2,762
2011,Q2,6,3245,3188,EAST,ORISSA,-57,3245
2011,Q2,6,6089,5988,EAST,WEST BENGAL,-101,6089
2011,Q2,6,95,95,EAST,SIKKAM,0,95
2011,Q2,6,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q2,6,90,85,NE,ARUNACHAL PRADESH,-5,90
2011,Q2,6,1010,984,NE,ASSAM,-26,1010
2011,Q2,6,95,86,NE,MANIPUR,-9,95
2011,Q2,6,280,238,NE,MEGHALAYA,-42,280
2011,Q2,6,74,54,NE,MIZORAM,-20,74
2011,Q2,6,100,79,NE,NAGALAND,-21,100
2011,Q2,6,190,184,NE,TRIPURA,-6,190
2011,Q3,7,263,263,NORTH,CHANDIGARH,0,263
2011,Q3,7,4819,4819,NORTH,DELHI,0,4819
2011,Q3,7,6533,6259,NORTH,HARYANA,-274,6533
2011,Q3,7,1183,1139,NORTH,HIMACHAL PRADESH,-44,1183
2011,Q3,7,2250,1545,NORTH,JAMMU & KASHMIR,-705,2250
2011,Q3,7,10406,8701,NORTH,PUNJAB,-1705,10406
2011,Q3,7,6736,6399,NORTH,RAJASTAN,-337,6736
2011,Q3,7,11488,10857,NORTH,UTTAR PRADESH,-631,11488
2011,Q3,7,1506,1361,NORTH,UTTARAKHAND,-145,1506
2011,Q3,7,2984,2736,WEST,CHATTISGARH,-248,2984
2011,Q3,7,10550,10203,WEST,GUJARAT,-347,10550
2011,Q3,7,5651,5116,WEST,MADYA PRADESH,-535,5651
2011,Q3,7,18122,15028,WEST,MAHARASTRA,-3094,18122
2011,Q3,7,301,276,WEST,DAMAN AND DIU,-25,301
2011,Q3,7,572,562,WEST,DADRA AND NAGAR HAVELI,-10,572
2011,Q3,7,425,422,WEST,GOA,-3,425
2011,Q3,7,10975,10542,SOUTH,ANDRA PRADESH,-433,10975
2011,Q3,7,7640,6907,SOUTH, KARNATAKA,-733,7640
2011,Q3,7,2994,2888,SOUTH,KERALA,-106,2994
2011,Q3,7,11068,10275,SOUTH,TAMILNADU,-793,11068
2011,Q3,7,313,311,SOUTH,PUDUCHERRY,-2,313
2011,Q3,7,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q3,7,1910,1486,EAST,BIHAR,-424,1910
2011,Q3,7,2318,2018,EAST,DVC,-300,2318
2011,Q3,7,822,827,EAST,JARKHAND,5,822
2011,Q3,7,3313,3313,EAST,ORISSA,0,3313
2011,Q3,7,6301,6105,EAST,WEST BENGAL,-196,6301
2011,Q3,7,95,95,EAST,SIKKAM,0,95
2011,Q3,7,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q3,7,100,94,NE,ARUNACHAL PRADESH,-6,100
2011,Q3,7,1095,986,NE,ASSAM,-109,1095
2011,Q3,7,100,95,NE,MANIPUR,-5,100
2011,Q3,7,319,262,NE,MEGHALAYA,-57,319
2011,Q3,7,66,56,NE,MIZORAM,-10,66
2011,Q3,7,98,90,NE,NAGALAND,-8,98
2011,Q3,7,180,168,NE,TRIPURA,-12,180
2011,Q3,8,263,263,NORTH,CHANDIGARH,0,263
2011,Q3,8,5031,5028,NORTH,DELHI,-3,5031
2011,Q3,8,6480,6147,NORTH,HARYANA,-333,6480
2011,Q3,8,1123,1122,NORTH,HIMACHAL PRADESH,-1,1123
2011,Q3,8,2250,1560,NORTH,JAMMU & KASHMIR,-690,2250
2011,Q3,8,10471,8274,NORTH,PUNJAB,-2197,10471
2011,Q3,8,6443,6183,NORTH,RAJASTAN,-260,6443
2011,Q3,8,12038,10885,NORTH,UTTAR PRADESH,-1153,12038
2011,Q3,8,1529,1429,NORTH,UTTARAKHAND,-100,1529
2011,Q3,8,2810,2739,WEST,CHATTISGARH,-71,2810
2011,Q3,8,8707,8637,WEST,GUJARAT,-70,8707
2011,Q3,8,5667,5322,WEST,MADYA PRADESH,-345,5667
2011,Q3,8,18115,14903,WEST,MAHARASTRA,-32122,18115
2011,Q3,8,297,272,WEST,DAMAN AND DIU,-25,297
2011,Q3,8,615,605,WEST,DADRA AND NAGAR HAVELI,-10,615
2011,Q3,8,431,426,WEST,GOA,-5,431
2011,Q3,8,11483,11377,SOUTH,ANDRA PRADESH,-106,11483
2011,Q3,8,7672,7085,SOUTH, KARNATAKA,-587,7672
2011,Q3,8,2984,2890,SOUTH,KERALA,-94,2984
2011,Q3,8,10855,10203,SOUTH,TAMILNADU,-652,10855
2011,Q3,8,318,310,SOUTH,PUDUCHERRY,-8,318
2011,Q3,8,8,8,SOUTH,LAKSHADWEEP,0,8
2011,Q3,8,1972,1738,EAST,BIHAR,-234,1972
2011,Q3,8,2113,1963,EAST,DVC,-150,2113
2011,Q3,8,825,823,EAST,JARKHAND,-2,825
2011,Q3,8,3390,3330,EAST,ORISSA,-60,3390
2011,Q3,8,6382,6282,EAST,WEST BENGAL,-100,6382
2011,Q3,8,90,90,EAST,SIKKAM,0,90
2011,Q3,8,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q3,8,102,103,NE,ARUNACHAL PRADESH,1,102
2011,Q3,8,1112,1014,NE,ASSAM,-98,1112
2011,Q3,8,105,102,NE,MANIPUR,-3,105
2011,Q3,8,301,261,NE,MEGHALAYA,-40,301
2011,Q3,8,60,53,NE,MIZORAM,-7,60
2011,Q3,8,106,102,NE,NAGALAND,-4,106
2011,Q3,8,194,191,NE,TRIPURA,-3,194
2011,Q3,9,262,262,NORTH,CHANDIGARH,0,262
2011,Q3,9,4713,4713,NORTH,DELHI,0,4713
2011,Q3,9,6067,5864,NORTH,HARYANA,-203,6067
2011,Q3,9,1279,1161,NORTH,HIMACHAL PRADESH,-118,1279
2011,Q3,9,2237,1632,NORTH,JAMMU & KASHMIR,-605,2237
2011,Q3,9,8273,7801,NORTH,PUNJAB,-472,8273
2011,Q3,9,7536,5526,NORTH,RAJASTAN,-2010,7536
2011,Q3,9,11821,10447,NORTH,UTTAR PRADESH,-1374,11821
2011,Q3,9,1526,1427,NORTH,UTTARAKHAND,-99,1526
2011,Q3,9,2754,2480,WEST,CHATTISGARH,-274,2754
2011,Q3,9,9936,9785,WEST,GUJARAT,-151,9936
2011,Q3,9,65612,5937,WEST,MADYA PRADESH,-575,65612
2011,Q3,9,20119,14882,WEST,MAHARASTRA,-5237,20119
2011,Q3,9,294,269,WEST,DAMAN AND DIU,-25,294
2011,Q3,9,615,605,WEST,DADRA AND NAGAR HAVELI,-10,615
2011,Q3,9,454,428,WEST,GOA,-26,454
2011,Q3,9,12863,11552,SOUTH,ANDRA PRADESH,-1311,12863
2011,Q3,9,8151,7034,SOUTH, KARNATAKA,-1117,8151
2011,Q3,9,3219,2942,SOUTH,KERALA,-277,3219
2011,Q3,9,11118,10237,SOUTH,TAMILNADU,-881,11118
2011,Q3,9,335,320,SOUTH,PUDUCHERRY,-15,335
2011,Q3,9,8,8,SOUTH,LAKSHADWEEP,0,8
2011,Q3,9,1934,1699,EAST,BIHAR,-235,1934
2011,Q3,9,2030,1880,EAST,DVC,-150,2030
2011,Q3,9,818,816,EAST,JARKHAND,-2,818
2011,Q3,9,3589,3526,EAST,ORISSA,-63,3589
2011,Q3,9,6478,6378,EAST,WEST BENGAL,-100,6478
2011,Q3,9,90,90,EAST,SIKKAM,0,90
2011,Q3,9,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q3,9,113,108,NE,ARUNACHAL PRADESH,-5,113
2011,Q3,9,1069,990,NE,ASSAM,-79,1069
2011,Q3,9,111,104,NE,MANIPUR,-7,111
2011,Q3,9,286,259,NE,MEGHALAYA,-27,286
2011,Q3,9,61,56,NE,MIZORAM,-5,61
2011,Q3,9,105,103,NE,NAGALAND,-2,105
2011,Q3,9,186,185,NE,TRIPURA,-1,186
2011,Q4,10,248,248,NORTH,CHANDIGARH,0,248
2011,Q4,10,3991,3919,NORTH,DELHI,-72,3991
2011,Q4,10,5914,5204,NORTH,HARYANA,-710,5914
2011,Q4,10,1194,1194,NORTH,HIMACHAL PRADESH,0,1194
2011,Q4,10,2300,1589,NORTH,JAMMU & KASHMIR,-711,2300
2011,Q4,10,7596,7171,NORTH,PUNJAB,-425,7596
2011,Q4,10,7627,6589,NORTH,RAJASTAN,-1038,7627
2011,Q4,10,11718,11616,NORTH,UTTAR PRADESH,-102,11718
2011,Q4,10,1517,1412,NORTH,UTTARAKHAND,-105,1517
2011,Q4,10,3039,2851,WEST,CHATTISGARH,-188,3039
2011,Q4,10,10951,10759,WEST,GUJARAT,-192,10951
2011,Q4,10,9151,7842,WEST,MADYA PRADESH,-1309,9151
2011,Q4,10,20595,15632,WEST,MAHARASTRA,-4963,20595
2011,Q4,10,294,269,WEST,DAMAN AND DIU,-25,294
2011,Q4,10,584,574,WEST,DADRA AND NAGAR HAVELI,-10,584
2011,Q4,10,380,380,WEST,GOA,0,380
2011,Q4,10,13254,11591,SOUTH,ANDRA PRADESH,-1663,13254
2011,Q4,10,8142,6927,SOUTH, KARNATAKA,-1215,8142
2011,Q4,10,3193,3002,SOUTH,KERALA,-191,3193
2011,Q4,10,11187,10094,SOUTH,TAMILNADU,-1093,11187
2011,Q4,10,327,295,SOUTH,PUDUCHERRY,-32,327
2011,Q4,10,8,8,SOUTH,LAKSHADWEEP,0,8
2011,Q4,10,1889,1654,EAST,BIHAR,-235,1889
2011,Q4,10,2125,1975,EAST,DVC,-150,2125
2011,Q4,10,844,842,EAST,JARKHAND,-2,844
2011,Q4,10,3233,3176,EAST,ORISSA,-57,3233
2011,Q4,10,6555,6330,EAST,WEST BENGAL,-225,6555
2011,Q4,10,90,90,EAST,SIKKAM,0,90
2011,Q4,10,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q4,10,110,102,NE,ARUNACHAL PRADESH,-8,110
2011,Q4,10,1062,1053,NE,ASSAM,-9,1062
2011,Q4,10,110,106,NE,MANIPUR,-4,110
2011,Q4,10,262,259,NE,MEGHALAYA,-3,262
2011,Q4,10,65,62,NE,MIZORAM,-3,65
2011,Q4,10,105,104,NE,NAGALAND,-1,105
2011,Q4,10,215,214,NE,TRIPURA,-1,215
2011,Q4,11,150,150,NORTH,CHANDIGARH,0,150
2011,Q4,11,3294,3294,NORTH,DELHI,0,3294
2011,Q4,11,5041,4727,NORTH,HARYANA,-114,5041
2011,Q4,11,1238,1238,NORTH,HIMACHAL PRADESH,0,1238
2011,Q4,11,2350,1630,NORTH,JAMMU & KASHMIR,-720,2350
2011,Q4,11,5029,4850,NORTH,PUNJAB,-179,5029
2011,Q4,11,8188,5893,NORTH,RAJASTAN,-2295,8188
2011,Q4,11,10286,9217,NORTH,UTTAR PRADESH,-1069,10286
2011,Q4,11,1506,1496,NORTH,UTTARAKHAND,-10,1506
2011,Q4,11,2694,2694,WEST,CHATTISGARH,0,2694
2011,Q4,11,10446,10288,WEST,GUJARAT,-158,10446
2011,Q4,11,8813,7495,WEST,MADYA PRADESH,-1318,8813
2011,Q4,11,20978,15901,WEST,MAHARASTRA,-5077,20978
2011,Q4,11,283,258,WEST,DAMAN AND DIU,-25,283
2011,Q4,11,578,568,WEST,DADRA AND NAGAR HAVELI,-10,578
2011,Q4,11,490,467,WEST,GOA,-23,490
2011,Q4,11,12112,10835,SOUTH,ANDRA PRADESH,-1277,12112
2011,Q4,11,9121,7428,SOUTH, KARNATAKA,-1693,9121
2011,Q4,11,3243,3097,SOUTH,KERALA,-146,3243
2011,Q4,11,11148,9006,SOUTH,TAMILNADU,-2142,11148
2011,Q4,11,278,274,SOUTH,PUDUCHERRY,-4,278
2011,Q4,11,8,8,SOUTH,LAKSHADWEEP,0,8
2011,Q4,11,1906,1671,EAST,BIHAR,-235,1906
2011,Q4,11,2104,1954,EAST,DVC,-150,2104
2011,Q4,11,842,840,EAST,JARKHAND,-2,842
2011,Q4,11,3061,3007,EAST,ORISSA,-54,3061
2011,Q4,11,5947,5722,EAST,WEST BENGAL,-225,5947
2011,Q4,11,90,90,EAST,SIKKAM,0,90
2011,Q4,11,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q4,11,121,118,NE,ARUNACHAL PRADESH,-3,121
2011,Q4,11,1001,977,NE,ASSAM,-24,1001
2011,Q4,11,116,114,NE,MANIPUR,-2,116
2011,Q4,11,268,259,NE,MEGHALAYA,-9,268
2011,Q4,11,79,78,NE,MIZORAM,-1,79
2011,Q4,11,105,104,NE,NAGALAND,-1,105
2011,Q4,11,206,203,NE,TRIPURA,-3,206
2011,Q4,12,208,208,NORTH,CHANDIGARH,0,208
2011,Q4,12,3619,3619,NORTH,DELHI,0,3619
2011,Q4,12,4985,4727,NORTH,HARYANA,-258,4985
2011,Q4,12,1333,1249,NORTH,HIMACHAL PRADESH,-84,1333
2011,Q4,12,2253,1690,NORTH,JAMMU & KASHMIR,-563,2253
2011,Q4,12,5713,5534,NORTH,PUNJAB,-179,5713
2011,Q4,12,7556,6884,NORTH,RAJASTAN,-672,7556
2011,Q4,12,11706,8961,NORTH,UTTAR PRADESH,-2745,11706
2011,Q4,12,1586,1586,NORTH,UTTARAKHAND,0,1586
2011,Q4,12,2775,2678,WEST,CHATTISGARH,-97,2775
2011,Q4,12,10228,10070,WEST,GUJARAT,-158,10228
2011,Q4,12,8843,7368,WEST,MADYA PRADESH,-1475,8843
2011,Q4,12,21069,15766,WEST,MAHARASTRA,-5303,21069
2011,Q4,12,284,259,WEST,DAMAN AND DIU,-25,284
2011,Q4,12,580,580,WEST,DADRA AND NAGAR HAVELI,0,580
2011,Q4,12,464,406,WEST,GOA,-58,464
2011,Q4,12,11712,10453,SOUTH,ANDRA PRADESH,-1259,11712
2011,Q4,12,8869,7650,SOUTH, KARNATAKA,-1219,8869
2011,Q4,12,3248,3139,SOUTH,KERALA,-109,3248
2011,Q4,12,10962,9347,SOUTH,TAMILNADU,-1615,10962
2011,Q4,12,286,283,SOUTH,PUDUCHERRY,-3,286
2011,Q4,12,8,8,SOUTH,LAKSHADWEEP,0,8
2011,Q4,12,1799,1433,EAST,BIHAR,-366,1799
2011,Q4,12,2138,1988,EAST,DVC,-150,2138
2011,Q4,12,863,831,EAST,JARKHAND,-32,863
2011,Q4,12,2929,2877,EAST,ORISSA,-52,2929
